t_s,RPM,theta_mech_rad,theta_e_deg_true,theta_e_deg_hall_est,HA,HB,HC,HallState
0.1381,241.14057028514253,7.389111100993979,230.47320660330024,180.0,0,1,0,2
0.13820000000000002,240.75037518759382,7.39163223302744,232.63995997998882,180.0,0,1,0,2
0.1383,240.360180090045,7.3941492789473955,234.80320160079918,180.0,0,1,0,2
0.1384,239.96998499249628,7.396662238753843,236.96293146573134,180.0,0,1,0,2
0.1385,239.57978989494745,7.399171112446786,239.11914957478712,180.0,0,1,0,2
0.1386,239.18959479739863,7.401675900026221,241.27185592796286,240.0,0,1,1,6
0.13870000000000002,238.79939969984991,7.40417660149215,243.4210505252613,240.0,0,1,1,6
0.1388,238.4092046023011,7.406673216844571,245.56673336668155,240.0,0,1,1,6
0.1389,238.01900950475238,7.409165746083488,247.7089044522245,240.0,0,1,1,6
0.139,237.62881440720355,7.411654189208898,249.84756378188922,240.0,0,1,1,6
0.1391,237.23861930965484,7.414138546220801,251.98271135567666,240.0,0,1,1,6
0.13920000000000002,236.848424212106,7.416618817119199,254.11434717358497,240.0,0,1,1,6
0.1393,236.4582291145573,7.419095001904089,256.2424712356169,240.0,0,1,1,6
0.1394,236.06803401700847,7.421567100575474,258.3670835417697,240.0,0,1,1,6
0.1395,235.67783891945976,7.424035113133351,260.4881840920443,240.0,0,1,1,6
0.1396,235.28764382191093,7.426499039577722,262.60577288644254,240.0,0,1,1,6
0.13970000000000002,234.8974487243621,7.428958879908587,264.7198499249607,240.0,0,1,1,6
0.1398,234.5072536268134,7.431414634125945,266.8304152076025,240.0,0,1,1,6
0.1399,234.11705852926457,7.433866302229796,268.9374687343643,240.0,0,1,1,6
0.14,233.72686343171586,7.436313884220142,271.0410105052506,240.0,0,1,1,6
0.1401,233.33666833416703,7.438757380096981,273.1410405202578,240.0,0,1,1,6
0.14020000000000002,232.94647323661832,7.441196789860314,275.23755877938765,240.0,0,1,1,6
0.1403,232.5562781390695,7.443632113510141,277.3305652826393,240.0,0,1,1,6
0.1404,232.16608304152078,7.44606335104646,279.4200600300128,240.0,0,1,1,6
0.1405,231.77588794397195,7.448490502469274,281.50604302150896,240.0,0,1,1,6
0.1406,231.38569284642324,7.4509135677785805,283.588514257126,240.0,0,1,1,6
0.14070000000000002,230.9954977488744,7.453332546974381,285.66747373686667,240.0,0,1,1,6
0.1408,230.6053026513256,7.455747440056675,287.7429214607291,240.0,0,1,1,6
0.1409,230.21510755377687,7.458158247025462,289.81485742871155,240.0,0,1,1,6
0.14100000000000001,229.82491245622805,7.460564967880745,291.8832816408194,240.0,0,1,1,6
0.1411,229.43471735867934,7.46296760262252,293.94819409704724,240.0,0,1,1,6
0.14120000000000002,229.0445222611305,7.465366151250788,296.00959479739686,240.0,0,1,1,6
0.1413,228.6543271635818,7.467760613765551,298.0674837418701,240.0,0,1,1,6
0.1414,228.26413206603297,7.470150990166807,300.1218609304642,300.0,0,0,1,4
0.14150000000000001,227.87393696848426,7.472537280454556,302.1727263631801,300.0,0,0,1,4
0.1416,227.48374187093543,7.474919484628798,304.22008004001873,300.0,0,0,1,4
0.14170000000000002,227.09354677338672,7.477297602689534,306.2639219609782,300.0,0,0,1,4
0.1418,226.7033516758379,7.479671634636764,308.30425212606133,300.0,0,0,1,4
0.1419,226.31315657828907,7.482041580470487,310.3410705352653,300.0,0,0,1,4
0.14200000000000002,225.92296148074036,7.484407440190704,312.374377188592,300.0,0,0,1,4
0.1421,225.53276638319153,7.486769213797416,314.4041720860414,300.0,0,0,1,4
0.1422,225.14257128564282,7.48912690129062,316.4304552276117,300.0,0,0,1,4
0.1423,224.752376188094,7.491480502670318,318.45322661330556,300.0,0,0,1,4
0.1424,224.36218109054528,7.493830017936509,320.47248624312033,300.0,0,0,1,4
0.14250000000000002,223.97198599299645,7.496175447089195,322.4882341170569,300.0,0,0,1,4
0.1426,223.58179089544774,7.498516790128373,324.50047023511524,300.0,0,0,1,4
0.1427,223.1915957978989,7.5008540470540455,326.5091945972972,300.0,0,0,1,4
0.1428,222.8014007003502,7.503187217866211,328.51440720360006,300.0,0,0,1,4
0.1429,222.41120560280137,7.50551630256487,330.5161080540247,300.0,0,0,1,4
0.14300000000000002,222.02101050525255,7.507841301150024,332.51429714857295,300.0,0,0,1,4
0.1431,221.63081540770384,7.51016221362167,334.5089744872421,300.0,0,0,1,4
0.1432,221.240620310155,7.5124790399798105,336.5001400700339,300.0,0,0,1,4
0.1433,220.8504252126063,7.514791780224444,338.48779389694664,300.0,0,0,1,4
0.1434,220.46023011505747,7.517100434355572,340.471935967983,300.0,0,0,1,4
0.14350000000000002,220.07003501750876,7.519405002373192,342.4525662831402,300.0,0,0,1,4
0.1436,219.67983991995993,7.521705484277307,344.4296848424201,300.0,0,0,1,4
0.1437,219.28964482241122,7.524001880067915,346.4032916458218,300.0,0,0,1,4
0.1438,218.8994497248624,7.526294189745016,348.3733866933453,300.0,0,0,1,4
0.1439,218.50925462731368,7.5285824133086106,350.3399699849906,300.0,0,0,1,4
0.14400000000000002,218.11905952976485,7.5308665507587,352.3030415207586,300.0,0,0,1,4
0.1441,217.72886443221603,7.533146602095282,354.2626013006484,300.0,0,0,1,4
0.1442,217.33866933466732,7.535422567318358,356.2186493246609,300.0,0,0,1,4
0.1443,216.9484742371185,7.5376944464279285,358.17118559279515,300.0,0,0,1,4
0.1444,216.55827913956978,7.539962239423991,0.12021010505122831,0.0,1,0,1,5
0.14450000000000002,216.16808404202095,7.542225946306548,2.065722861430004,0.0,1,0,1,5
0.1446,215.77788894447224,7.544485567075598,4.007723861929662,0.0,1,0,1,5
0.1447,215.3876938469234,7.546741101731142,5.9462131065520225,0.0,1,0,1,5
0.1448,214.9974987493747,7.548992550273179,7.881190595296175,0.0,1,0,1,5
0.1449,214.60730365182587,7.55123991270171,9.81265632816303,0.0,1,0,1,5
0.14500000000000002,214.21710855427716,7.553483189016734,11.740610305150767,0.0,1,0,1,5
0.1451,213.82691345672833,7.555722379218252,13.665052526261206,0.0,1,0,1,5
0.1452,213.4367183591795,7.557957483306264,15.585982991494348,0.0,1,0,1,5
0.1453,213.0465232616308,7.560188501280769,17.50340170084928,0.0,1,0,1,5
0.1454,212.65632816408197,7.562415433141768,19.417308654326007,0.0,1,0,1,5
0.14550000000000002,212.26613306653326,7.5646382788892605,21.327703851924525,0.0,1,0,1,5
0.1456,211.87593796898443,7.5668570385232465,23.234587293644836,0.0,1,0,1,5
0.1457,211.48574287143572,7.569071712043726,25.137958979488758,0.0,1,0,1,5
0.1458,211.0955477738869,7.5712822994507,27.037818909453563,0.0,1,0,1,5
0.1459,210.70535267633818,7.573488800744165,28.93416708353925,0.0,1,0,1,5
0.14600000000000002,210.31515757878935,7.575691215924126,30.82700350174855,0.0,1,0,1,5
0.1461,209.92496248124064,7.5778895449905805,32.71632816408055,0.0,1,0,1,5
0.1462,209.53476738369181,7.580083787943528,34.602141070534344,0.0,1,0,1,5
0.1463,209.144572286143,7.58227394478297,36.48444222110993,0.0,1,0,1,5
0.1464,208.75437718859428,7.584460015508904,38.3632316158064,0.0,1,0,1,5
0.14650000000000002,208.36418209104545,7.586642000121333,40.23850925462648,0.0,1,0,1,5
0.1466,207.97398699349674,7.588819898620254,42.11027513756653,0.0,1,0,1,5
0.1467,207.5837918959479,7.5909937110056696,43.978529264631106,0.0,1,0,1,5
0.1468,207.1935967983992,7.593163437277578,45.843271635815654,0.0,1,0,1,5
0.1469,206.80340170085037,7.595329077435981,47.70450225112381,0.0,1,0,1,5
0.14700000000000002,206.41320660330166,7.597490631480876,49.562221110552855,0.0,1,0,1,5
0.1471,206.02301150575283,7.599648099412266,51.41642821410551,0.0,1,0,1,5
0.1472,205.63281640820412,7.60180148123015,53.267123561779044,0.0,1,0,1,5
0.14730000000000001,205.2426213106553,7.603950776934527,55.11430715357528,0.0,1,0,1,5
0.1474,204.85242621310658,7.606095986525397,56.9579789894924,0.0,1,0,1,5
0.14750000000000002,204.46223111555776,7.6082371100027615,58.798139069533136,0.0,1,0,1,5
0.1476,204.07203601800893,7.6103741473666195,60.63478739369566,60.0,1,0,0,1
0.1477,203.68184092046022,7.61250709861697,62.46792396197907,60.0,1,0,0,1
0.14780000000000001,203.2916458229114,7.614635963753815,64.29754877438609,60.0,1,0,0,1
0.1479,202.90145072536268,7.616760742777153,66.12366183091308,60.0,1,0,0,1
0.14800000000000002,202.51125562781385,7.618881435686984,67.94626313156277,60.0,1,0,0,1
0.1481,202.12106053026514,7.620998042483311,69.76535267633699,60.0,1,0,0,1
0.1482,201.7308654327163,7.62311056316613,71.58093046523118,60.0,1,0,0,1
0.14830000000000002,201.3406703351676,7.625218997735443,73.39299649824807,60.0,1,0,0,1
0.1484,200.95047523761878,7.6273233461912495,75.20155077538675,60.0,1,0,0,1
0.14850000000000002,200.56028014007006,7.62942360853355,77.00659329664722,60.0,1,0,0,1
0.1486,200.17008504252124,7.631519784762342,78.80812406202949,60.0,1,0,0,1
0.1487,199.7798899449724,7.63361187487763,80.60614307153446,60.0,1,0,0,1
0.14880000000000002,199.3896948474237,7.63569987887941,82.40065032516122,60.0,1,0,0,1
0.1489,198.99949974987487,7.6377837967676845,84.19164582291069,60.0,1,0,0,1
0.149,198.60930465232616,7.639863628542451,85.97912956478012,60.0,1,0,0,1
0.1491,198.21910955477733,7.641939374203712,87.76310155077317,60.0,1,0,0,1
0.1492,197.82891445722862,7.644011033751468,89.54356178088892,60.0,1,0,0,1
0.14930000000000002,197.4387193596798,7.646078607185716,91.32051025512555,60.0,1,0,0,1
0.1494,197.04852426213108,7.648142094506459,93.0939469734858,60.0,1,0,0,1
0.1495,196.65832916458226,7.650201495713694,94.86387193596693,60.0,1,0,0,1
0.1496,196.26813406703354,7.652256810807424,96.63028514256985,60.0,1,0,0,1
0.1497,195.87793896948472,7.654308039787646,98.39318659329456,60.0,1,0,0,1
0.14980000000000002,195.4877438719359,7.656355182654363,100.15257628814288,60.0,1,0,0,1
0.1499,195.09754877438718,7.658398239407572,101.90845422711118,60.0,1,0,0,1
